,Sample_ID,Date.x,Region,Site,Genus,Treatment,Symbiont_ITS,Symbiont_speciesID,psba_sequence,Coral_speciesID,Holobiont_ID,Holobiont_ID2,Holobiont_ID_Region,Whole.colony.tag,Ethanol.x,Field.notes,DGGE.profile.notes,comments.psba,Fraction,Fraction.detail,Fraction.detail_c,Fraction.detail_b,Time,Time2,Lab_ID,d15N,d13C,Weight_mg,Kim_C.percent,Kim_N.percent,Weight_mg.1,C_percent.weight,C_percent.weight.num,C_mg,N_percent.weight,N_percent.weight.num,N_mg,CN_molar,Mycrosporine.glycine,Palythine,Asterina,Shinorine,Nubbin,Nubbin_ID,Protein_cm2,Dino.density,Chla_cell,Chla_cm2,Pocilloporin,Date.y,Colony.tag,Ethanol.y,Field_notes,Plank.Day.Night,Fraction_Plank,Big.delta.15N,Big.delta.13C,N_ug,C_ug,Volume_L
11,HA008,12/4/19,Heron,Harry's Bommie,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,HA017,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5829,4.4,-15.4,4.948,18.9,4.25,4.948,0.189,18.9,0.935,0.043,4.3,0.21,5.2,0.48,0.426,0.382,0.364,original,HA017,0.767001954,0.197047553,5.723402062,1.12778237,NA,8/12/19,Yes,Yes,,,,1,0.6,NA,NA,NA
13,HA017,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11100,3.4,-16,0.5,42.94,7.87,0.503,0.429,42.9,0.216,0.079,7.9,0.04,6.4,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
14,HA018,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5915,4.5,-19.1,4.967,14.7,3.16,4.967,0.147,14.7,0.73,0.032,3.2,0.157,5.4,0.498,0.441,0.374,0.347,original,HA018,0.73759056,0.679079188,1.612553731,1.095051679,NA,8/12/19,Yes,Yes,,,,0.6,-3.2,NA,NA,NA
15,HA018,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,9347,3.9,-15.9,3.154,41.83,6.22,3.154,0.418,41.8,1.319,0.062,6.2,0.196,7.9,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
16,HA019,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5705,4.3,-16.7,5,14.02,3.13,5,0.14,14,0.701,0.031,3.1,0.156,5.2,0.552,0.51,0.464,0.442,original,HA019,0.622232875,0.796949204,1.908963793,1.521347175,NA,8/12/19,Yes,Yes,,,,1.2,-0.4,NA,NA,NA
17,HA019,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,9332,3.1,-16.3,3.183,41.22,6.38,3.183,0.412,41.2,1.312,0.064,6.4,0.203,7.5,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
18,HA020,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,HA021,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,"DGGE shows no difference to adjacent profiles, suggested psba presence of C.latusorum could be a contamination",mix of C.pacificum and C. latusorum?,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,HA022,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,HA023,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5709,4.3,-16.5,4.986,14.35,3.19,4.986,0.143,14.3,0.715,0.032,3.2,0.159,5.3,0.489,0.454,0.413,0.392,original,HA023,0.601198501,0.747702376,1.742981021,1.303231051,NA,8/12/19,Yes,Yes,,,,0.4,-2.7,NA,NA,NA
22,HA023,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11090,3.9,-13.8,0.8,25.17,3.7,0.798,0.252,25.2,0.201,0.037,3.7,0.03,7.9,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
23,HA024,12/8/19,Heron,Coral Canyons,Pocillopora,Adult,"C1b-c, 42a",C. latusorum,C. latusorum,Pdam,"Pdam, C. latusorum","Pdam, C. latusorum","Heron, Pdam, C. latusorum",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,After,During/After,11023,4.8,-14.8,4.53,6.91,1.42,4.525,0.069,6.9,0.313,0.014,1.4,0.064,5.7,NA,NA,NA,NA,original,HA024,2.010501266,1.734788426,0.664639407,1.153008751,1.740430264,,,,,,,NA,NA,NA,NA,NA
24,HA033,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,HA034,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5821,4.7,-16.1,5.074,19.36,4.35,5.074,0.194,19.4,0.982,0.044,4.4,0.221,5.2,0.484,0.411,0.343,0.319,original,HA034,0.551103722,0.741240047,1.538246525,1.140209927,NA,11/12/19,Yes,Yes,,,,1.8,-0.3,NA,NA,NA
26,HA034,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11105,2.9,-15.8,3.66,45.26,6.58,3.66,0.453,45.3,1.656,0.066,6.6,0.241,8,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
27,HA035,12/11/19,Heron,Pam's Point,Pocillopora,Adult,"C1b-c, 42a",C. latusorum,,Pdam,"Pdam, C. latusorum","Pdam, C. latusorum","Heron, Pdam, C. latusorum",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,After,During/After,11000,5,-16.1,5.53,5.71,1.11,5.532,0.057,5.7,0.316,0.011,1.1,0.062,6,NA,NA,NA,NA,original,HA035,0.655744617,0.224560153,4.894100529,1.099019963,0.971815907,,,,,,,NA,NA,NA,NA,NA
28,HA036,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam_clade II,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5837,4.8,-17.2,5.04,17.05,3.74,5.04,0.17,17,0.859,0.037,3.7,0.188,5.3,0.569,0.511,0.455,0.436,original,HA036,0.797298993,1.116850099,2.002530587,2.236526485,NA,11/12/19,Yes,Yes,,,,2.7,1.3,NA,NA,NA
29,HA036,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam_clade II,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11079,2.1,-18.5,1.53,48.43,7.08,1.534,0.484,48.4,0.743,0.071,7.1,0.109,8,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
30,HA037,12/11/19,Heron,Pam's Point,Pocillopora,Adult,"C1b-c,j, 42a",C. latusorum,C. latusorum,Pdam,"Pdam, C. latusorum","Pdam, C. latusorum","Heron, Pdam, C. latusorum",Yes,Yes,,,,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,HA038,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5901,4.3,-17,4.954,14.24,3.22,4.954,0.142,14.2,0.706,0.032,3.2,0.16,5.2,0.592,0.546,0.5,0.477,original,HA038,0.518877972,0.3148696,5.565863187,1.752521117,NA,11/12/19,Yes,Yes,,,,1.6,-1.8,NA,NA,NA
32,HA038,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11101,2.7,-15.2,1.01,29.65,3.64,1.014,0.297,29.7,0.301,0.036,3.6,0.037,9.5,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
33,HA039,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Host,Host,"Pocillopora, Adult",,Before,Before,5924,5.1,-17.8,5.062,14.62,3.2,5.062,0.146,14.6,0.74,0.032,3.2,0.162,5.3,0.532,0.478,0.436,0.532,original,HA039,0.480789727,0.923146075,2.465711674,2.276212053,NA,11/12/19,Yes,Yes,,,,1.4,0.2,NA,NA,NA
34,HA039,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a,C33a_sGBR,C33a_sGBR,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,,,Symbiont,Symbiont,"Pocillopora, Adult",,Before,Before,11083,3.7,-18,0.76,46.15,7.94,0.758,0.462,46.2,0.35,0.079,7.9,0.06,6.8,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
35,HA040,12/11/19,Heron,Pam's Point,Pocillopora,Adult,C33a*,C33a_sGBR,,Pdam,"Pdam, C33a_sGBR","Pdam, C33a_sGBR","Heron, Pdam, C33a_sGBR",Yes,Yes,,looks like a mix with D.trenchi (D1a; PCR faint),,NA,NA,"Pocillopora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,HA049,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,NA,NA,"Stylophora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,HA050,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Host,Host,"Stylophora, Adult",,After,During/After,11007,5.4,-16.7,4.65,12.65,2.63,4.654,0.126,12.6,0.589,0.026,2.6,0.123,5.6,NA,NA,NA,NA,original,HA050,0.87387002,0.578594841,2.125524897,1.229817741,0.346845872,,,,,,,NA,NA,NA,NA,NA
38,HA050,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Host,Host,"Stylophora, Adult",,Before,Before,5818,4.3,-16,4.975,8.83,1.96,4.975,0.088,8.8,0.439,0.02,2,0.097,5.3,0.733,0.716,0.642,0.597,original,HA050,0.300739889,0.441425516,1.139999338,0.503224796,NA,5/12/19,No,Yes,,,,0.4,2.4,NA,NA,NA
39,HA050,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Symbiont,Symbiont,"Stylophora, Adult",,Before,Before,9346,3.9,-18.4,2.456,53.74,8.75,2.456,0.537,53.7,1.32,0.088,8.8,0.215,7.2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
40,HA051,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Host,Host,"Stylophora, Adult",,After,During/After,11038,5.1,-15.7,5.15,15.74,3.43,5.147,0.157,15.7,0.81,0.034,3.4,0.177,5.3,NA,NA,NA,NA,original,HA051,1.445795834,0.882743528,1.726429343,1.523994329,0.35570707,,,,,,,NA,NA,NA,NA,NA
41,HA051,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Host,Host,"Stylophora, Adult",,Before,Before,NA,5,-15.6,4.922,13.62,3.08,4.922,0.136,13.6,0.67,0.031,3.1,0.152,5.2,0.769,0.751,0.657,0.602,original,HA051,0.495472217,0.837714216,1.474566376,1.235265216,NA,5/12/19,No,Yes,,,,1.4,0,NA,NA,NA
42,HA051,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,Symbiont,Symbiont,"Stylophora, Adult",,Before,Before,9338,3.6,-15.6,3.128,39.25,6.66,3.128,0.393,39.3,1.228,0.067,6.7,0.208,6.9,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
43,HA052,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,Cliona nubbin,,,NA,NA,"Stylophora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,HA053,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C35a,C35a group,,S. pistillata,"S. pistillata, C35a group",Stylophora_Heron,"Heron, S. pistillata, C35a group",No,Yes,Cliona nubbin,,,Host,Host,"Stylophora, Adult",,Before,Before,5827,4.4,-17.4,5.047,10.45,2.3,5.047,0.105,10.5,0.528,0.023,2.3,0.116,5.3,0.753,0.72,0.629,0.573,original,HA053,0.712387438,0.47291626,1.22894876,0.581189851,NA,5/12/19,No,Yes,Cliona nubbin,,,0.3,-0.2,NA,NA,NA
45,HA053,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C35a,C35a group,,S. pistillata,"S. pistillata, C35a group",Stylophora_Heron,"Heron, S. pistillata, C35a group",No,Yes,Cliona nubbin,,,Symbiont,Symbiont,"Stylophora, Adult",,Before,Before,9273,4.1,-17.2,1.355,37.22,6.03,1.355,0.372,37.2,0.504,0.06,6,0.082,7.2,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
46,HA054,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,NA,NA,"Stylophora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,HA055,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,,,NA,NA,"Stylophora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,HA056,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,,,,S. pistillata,"S. pistillata, ",Stylophora_Heron,"Heron, S. pistillata, ",No,Yes,,,,Host,Host,"Stylophora, Adult",,Before,Before,5819,4.4,-17.9,5.035,11.98,2.71,5.035,0.12,12,0.603,0.027,2.7,0.137,5.1,0.587,0.554,0.499,0.474,original,HA056,0.553134531,1.567562862,2.105440927,3.300411005,NA,5/12/19,No,Yes,,,,1,-0.4,NA,NA,NA
49,HA056,12/5/19,Heron,Harry's Bommie,Stylophora,Adult,,,,S. pistillata,"S. pistillata, ",Stylophora_Heron,"Heron, S. pistillata, ",No,Yes,,,,Symbiont,Symbiont,"Stylophora, Adult",,Before,Before,9333,3.4,-17.5,2.86,41.87,6.7,2.86,0.419,41.9,1.197,0.067,6.7,0.192,7.3,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
50,HA065,12/10/19,Heron,Coral Canyons,Stylophora,Adult,C78a,C78a,,S. pistillata,"S. pistillata, C78a","S. pistillata, C78a","Heron, S. pistillata, C78a",No,Yes,,"d/t band not really clearly visible on gel, but rest of profile looks same as the C1dt next to it",,NA,NA,"Stylophora, Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
